regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Nigeria,566,Country/Area,914,33.81,35.8,38.13,39.97,42.03,44.29,46.02,45.95,45.87,46,46.94,49.76,51.95,54.18,55.75,57.28,58.73,60.09,61.35,62.51,63.55,64.51,65.37,66.17,66.9,67.58,68.2,68.79,69.35,69.9
Senegal,686,Country/Area,914,35.47,37.49,38.62,38.42,40.91,46.5,51.27,56.05,57.59,57.24,58.93,62.55,65.74,67.47,68.87,70.08,71.12,72.05,72.9,73.71,74.47,75.21,75.93,76.67,77.39,78.12,78.86,79.58,80.3,81.03
Sierra Leone,694,Country/Area,914,28.79,30.73,32.47,34.83,37.32,39.4,40.54,39.72,37.56,37.61,42.03,46.99,51.42,54.07,55.92,57.67,59.33,60.86,62.23,63.47,64.56,65.52,66.38,67.16,67.85,68.49,69.12,69.7,70.25,70.79
Togo,768,Country/Area,914,35.3,38.66,41.9,45.02,48.07,50.93,53.58,55.41,55.78,53.71,53.88,55.8,59.08,60.53,62.13,63.49,64.66,65.69,66.59,67.41,68.18,68.88,69.58,70.23,70.88,71.49,72.11,72.72,73.33,73.96
NORTHERN AFRICA AND WESTERN ASIA,1833,SDG region,1828,42.59,46,49.06,52.13,54.87,58.1,61.07,64.09,65.97,67.82,69.5,71.07,72.31,73.45,74.46,75.33,76.14,76.87,77.56,78.22,78.84,79.42,79.96,80.49,81.01,81.53,82.06,82.6,83.14,83.66
Northern Africa,912,Subregion,1833,42.27,45.81,48.59,51.12,53.19,56.27,59.77,62.84,64.62,66.45,67.98,69.77,71.17,72.27,73.18,74.05,74.89,75.68,76.44,77.15,77.82,78.47,79.07,79.65,80.2,80.76,81.32,81.9,82.48,83.05
Algeria,12,Country/Area,912,42.89,45,47.29,49.47,51.49,54.94,61.58,65.87,67.63,69.52,71.83,74.17,75.51,76.59,77.5,78.38,79.22,80.02,80.8,81.57,82.3,83,83.67,84.3,84.89,85.44,85.96,86.48,87.01,87.53
Egypt,818,Country/Area,912,41.13,46.33,49.28,51.57,52.95,56.75,59.89,63.53,65.44,67.97,68.98,69.87,70.83,71.74,72.54,73.31,74.07,74.8,75.52,76.23,76.92,77.63,78.33,79.03,79.74,80.45,81.15,81.85,82.54,83.19
Libya,434,Country/Area,912,36.67,38.99,46.89,53.32,58.41,62.47,65.57,67.52,69.35,70.43,71.26,72.34,71.74,72.7,73.44,74.17,74.89,75.6,76.32,77.03,77.75,78.48,79.21,79.93,80.66,81.38,82.08,82.77,83.43,84.05
Morocco,504,Country/Area,912,45.67,47.45,49.52,51.64,53.53,55.75,59.58,63.2,65.98,67.65,69.97,73.41,75.03,76.33,77.43,78.45,79.41,80.33,81.2,82.04,82.83,83.57,84.24,84.86,85.44,85.98,86.51,87.06,87.59,88.13
Sudan,729,Country/Area,912,44.54,47.08,49.22,51.24,53.06,54,54.46,55.14,56,57.58,59.46,61.62,63.76,64.95,66.09,67.16,68.14,69.04,69.89,70.67,71.42,72.12,72.8,73.48,74.15,74.82,75.5,76.19,76.87,77.57
Tunisia,788,Country/Area,912,38.81,40.73,43.74,48.33,54.08,59.37,64.26,67.13,70.32,72.43,73.72,74.63,75.45,76.41,77.36,78.27,79.13,79.95,80.76,81.54,82.31,83.04,83.72,84.35,84.94,85.47,85.98,86.48,86.99,87.51
Western Sahara,732,Country/Area,912,35.52,37.43,39.31,41.24,43.26,47.56,51.88,56.18,58.72,61.28,63.91,66.2,68.41,69.86,71.08,72.14,73.09,73.97,74.83,75.65,76.44,77.22,77.98,78.75,79.5,80.25,80.99,81.72,82.43,83.11
Western Asia,922,Subregion,1833,42.99,46.2,49.53,53.15,56.56,59.93,62.36,65.29,67.26,69.12,70.93,72.3,73.41,74.57,75.66,76.5,77.28,77.95,78.59,79.19,79.75,80.28,80.79,81.28,81.78,82.29,82.8,83.31,83.82,84.32
Armenia,51,Country/Area,922,62.81,64.92,67.03,69.18,70.76,70.6,70.92,68.39,68.06,70.2,72.37,72.74,73.99,74.87,75.55,76.24,76.92,77.59,78.26,78.91,79.57,80.24,80.91,81.57,82.22,82.86,83.47,84.06,84.62,85.17
